,대표코드,영화명,누적관객수
0,덤보,"6    20196025
Name: 대표코드, dtype: object",296253
1,돈,"1    20176103
Name: 대표코드, dtype: object",3117352
2,로망,"7    20197092
Name: 대표코드, dtype: object",46938
3,바이스,"9    20198104
Name: 대표코드, dtype: object",9652
4,생일,"3    20183096
Name: 대표코드, dtype: object",375445
5,샤잠!,"0    20196244
Name: 대표코드, dtype: object",500650
6,어스,"2    20185352
Name: 대표코드, dtype: object",1344563
7,장난스런 키스,"4    20183773
Name: 대표코드, dtype: object",318784
8,캡틴 마블,"5    20181877
Name: 대표코드, dtype: object",5649943
9,콜레트,"8    20198146
Name: 대표코드, dtype: object",35223
