,대표코드,영화명(국문),영화명(영문),영화명(원문),개봉연도,상영시간,장르,감독,관람등급,배우1,배우2,배우3
0,20196244,샤잠!,SHAZAM!,,20190403,131,액션,데이비드 F. 샌드버그,12세이상관람가,제커리 리바이,애셔 앤젤,잭 딜런 그레이져
1,20176103,돈,Money,,20190320,115,범죄,박누리,15세이상관람가,류준열,유지태,조우진
2,20185352,어스,Us,,20190327,116,공포(호러)/스릴러,조던 필,15세이상관람가,루피타 뇽,윈스턴 듀크,엘리자베스 모스
3,20183096,생일,Birthday,,20190403,120,드라마,이종언,전체관람가,설경구,전도연,김보민
4,20183773,장난스런 키스,Fall in Love at First Kiss,一吻定情,20190327,122,멜로/로맨스,프랭키 첸,12세이상관람가,왕대륙,임윤,
5,20181877,캡틴 마블,Captain Marvel,,20190306,123,액션/어드벤처/SF,애너 보든/라이언 플렉,12세이상관람가,브리 라슨,사무엘 L. 잭슨,벤 멘델슨
6,20196025,덤보,Dumbo,,20190327,111,가족/판타지,팀 버튼,전체관람가,콜린 파렐,마이클 키튼,대니 드비토
7,20197092,로망,Romang,,20190403,111,멜로/로맨스,이창근,전체관람가,이순재,정영숙,조한철
8,20198146,콜레트,COLETTE,,20190327,112,드라마,워시 웨스트모어랜드,15세이상관람가,키이라 나이틀리,도미닉 웨스트,엘리너 톰린슨
9,20198104,바이스,VICE,,20190411,132,드라마,아담 맥케이,15세이상관람가,크리스찬 베일,에이미 아담스,스티브 카렐
10,20197846,악질경찰,Jo Pil-ho: The Dawning Rage,,20190320,127,범죄/드라마,이정범,청소년관람불가,이선균,전소니,박해준
11,20175407,우상,Idol,,20190320,143,스릴러,이수진,15세이상관람가,한석규,설경구,천우희
12,20166301,썬키스 패밀리,Sunkist Family,,20190327,105,가족/멜로/로맨스/코미디,김지혜,15세이상관람가,박희순,진경,황우슬혜
13,20197483,1919 유관순,,,20190314,79,다큐멘터리,신상민,12세이상관람가,이새봄,양윤희,김나니
14,20197283,이스케이프 룸,The Escape Room,,20190314,99,액션/공포(호러)/스릴러,애덤 로비텔,15세이상관람가,테일러 러셀,로건 밀러,제이 엘리스
15,20197356,라스트 미션,The Mule,,20190314,116,드라마,클린트 이스트우드,15세이상관람가,클린트 이스트우드,타이사 파미가,브래들리 쿠퍼
16,20198603,페이트 스테이 나이트 헤븐즈필 제2장 로스트 버터플라이,Fate/stay night [Heaven's Feel] II.lost butterfly,,20190321,117,애니메이션/액션/판타지,스도 토모노리,15세이상관람가,스기야마 노리아키,시타야 노리코,카미야 히로시
17,20197617,정글북: 마법 원정대,Savva,,20190321,80,애니메이션/어드벤처/판타지,막심 파디브,전체관람가,,,
18,20184574,그린 북,Green Book,,20190109,130,드라마,피터 패럴리,12세이상관람가,비고 모텐슨,마허샬라 알리,
19,20196601,항거:유관순 이야기,A Resistance,,20190227,105,드라마,조민호,12세이상관람가,고아성,김새벽,김예은
20,20182530,극한직업,Extreme Job,,20190123,111,코미디,이병헌,15세이상관람가,류승룡,이하늬,진선규
21,20185881,증인,Innocent Witness,,20190213,129,드라마,이한,12세이상관람가,정우성,김향기,이규형
22,20177539,사바하,SVAHA : THE SIXTH FINGER,,20190220,122,미스터리/스릴러,장재현,15세이상관람가,이정재,박정민,이재인
23,20196723,숲속왕국의 꿀벌 여왕,Tall Tales,,20190314,87,애니메이션/어드벤처/코미디,아르나드 부롱/안톤 크링스,전체관람가,최원형,장은숙,안종덕
24,20180937,더 페이버릿: 여왕의 여자,THE FAVOURITE,,20190221,119,드라마,요르고스 란티모스,15세이상관람가,올리비아 콜맨,엠마 스톤,레이첼 와이즈
25,20177282,리노,Lino - Adventure of Seven Lives,Lino: Uma Aventura de Sete Vidas,20190307,88,애니메이션/어드벤처/가족,라파엘 리바스,전체관람가,,,
26,20176442,자전차왕 엄복동,Race to Freedom : Um Bok Dong,,20190227,116,드라마,김유성,12세이상관람가,정지훈,강소라,이범수
27,20195743,신데렐라:마법 반지의 비밀,Cinderella and The Secret Prince,,20190220,87,애니메이션/판타지,린 사우더랜드,전체관람가,사문영,김혜성,남도형
